Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Modalidad,Jornada Laboral,DocentesFemenino,DocentesMasculino,TotalDocentes,TotalAdministrativos,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
Loja_Province,PALTAS,LOURDES,-4,53198301070,UNIDAD EDUCATIVA FISCOMISIONAL MARISTA DE CATACOCHA,CALLE LOURDES 2 CALLE SUCRE ,FiscomitionalHighSchool,Costa,Presencial,Matutina,27,23,50,10,446
Loja_Province,PALTAS,LOURDES,-4,57003828900,UNIDAD EDUCATIVA PALTAS,VENTURA   ENCALADA Y  VIA PANAMERICANA ,FiscalHighSchool,Costa,Presencial,Matutino,Nocturno,32,17,49,8
Loja_Province,LOJA,MALACATOS(VALLADOLID),-4,150027393010,ESCUELA DE EDUCACION BASICA ELVIA B�LGICA JIM�NEZ DE GONZ�LEZ,   BARRIO RUMIZHITANA,FiscalHighSchool,Sierra,Presencial,Matutina,13,5,18,3,122
Loja_Province,LOJA,MALACATOS(VALLADOLID),-4,216140308290,UNIDAD EDUCATIVA MANUEL JOS�  RODRIGUEZ,   BARRIO LA TRINIDAD,FiscomitionalHighSchool,Sierra,Presencial,Matutina,22,12,34,1,372
Loja_Province,SARAGURO,MANU,-3,485142462800,COLEGIO DE BACHILLERATO MAN�,   PACAIPAMBA VIA LOJA SN,FiscalHighSchool,Costa,Presencial,Matutina,5,8,13,5,119
Loja_Province,PALTAS,ORIANGA,-3,897668216730,COLEGIO DE BACHILLERATO ORIANGA,   BARRIO PUEBLO NUEVO PARROQUIA ORIANGA  A 80M DEL SUBCENTRO DE SALUD,FiscalHighSchool,Costa,Presencial,Matutina,7,4,11,2,69
Loja_Province,PALTAS,SANANTONIO,-3,979668730180,COLEGIO DE BACHILLERATO  DR CARLOS MANUEL ESPINOZA,   CENTRO DE  LA PARROQUIA  DE SAN ANTONIO,FiscalHighSchool,Costa,Presencial,Matutina,6,2,8,2,43
Loja_Province,SARAGURO,SANPABLODETENTA,-3,599750648550,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE ABC,   PARROQUIA TENTA BARRIO MEMBRILLO,FiscalHighSchool,Sierra,Presencial,Matutina,8,16,24,2,227
Loja_Province,SARAGURO,SARAGURO,-3,648056931070,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE TUPAK YUPANKI,   COMUNIDAD  O�ACAPAC,FiscalHighSchool,Sierra,Presencial,Matutino,Nocturno,12,6,18,0
Loja_Province,SARAGURO,SARAGURO,-3,629859878640,UE COMUNITARIA INTERCULTURAL BILINGUE INKA SAMANA,   COMUNIDAD ILINCHO AYLLU LLAKTA,FiscalHighSchool,Sierra,Presencial,Matutina,9,5,14,2,43
Loja_Province,SARAGURO,SARAGURO,-3,620804350560,COLEGIO DE BACHILLERATO SARAGURO,10 DE MARZO  PANAMERICANA ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,Nocturno,26,28,54
Loja_Province,SARAGURO,SARAGURO,-3,624361692040,COLEGIO DE BACHILLERATO �UKANCHIK KAWSAY PARA PCEI,   COMUNIDAD DE TUNCARTA A DIEZ MINUTOS DE LA VIA A CUENCA,FiscalHighSchool,Sierra,Distancia,Matutina,3,1,4,0,57
Loja_Province,CATAMAYO,CATAMAYO,-3,998662941580,UNIDAD EDUCATIVA FISCOMISIONAL SAN JUAN BAUTISTA,ALFREDO BAQUERIZO  DIEGO DE NOBOA ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,19,6,25,3,211
Loja_Province,CALVAS,CARIAMANGA,-4,325507797690,UNIDAD EDUCATIVA FISCOMISIONAL SANTA JUANA DE ARCO LA SALLE,VELASCO IBARRA 00 AV.LOJA ,FiscomitionalHighSchool,Costa,Presencial,Matutina,30,16,46,4,346
Loja_Province,ZAPOTILLO,LIMONES,-4,388916163120,UNIDAD EDUCATIVA FRANCISCO DE ORELLANA,   PARROQUIA LIMONES,FiscalHighSchool,Costa,Presencial,Matutina,10,2,12,0,78
Loja_Province,GONZANAMA,GONZANAMA,-4,231862606430,UNIDAD EDUCATIVA GONZANAMA,AVENIDA 30 DE SEPTIEMBRE  24 DE MAYO ,FiscalHighSchool,Costa,Presencial,Matutina,Nocturno,28,13,41,9
Loja_Province,ZAPOTILLO,BOLASPAMBA,-4,185555417490,UNIDAD EDUCATIVA GREGORIO MARA�ON,   BARRIO BOLASPAMBA FRENTE AL DISPENSARIO DEL SSC,FiscalHighSchool,Costa,Presencial,Matutina,3,5,8,0,56
Loja_Province,ESPINDOLA,BELLAVISTA,-4,565081488340,UNIDAD EDUCATIVA JOS� MAR�A RIOFR�O,   BARRIO REINA DEL CISNE CALLE SAN FRANCISCO V�A A LLAMACHANCHI,FiscalHighSchool,Costa,Presencial,Matutina,8,5,13,1,68
Loja_Province,CHAGUARPAMBA,CHAGUARPAMBA,-3,878163258490,UNIDAD EDUCATIVA LA DOLOROSA,   VIA YAGUACHI BARRIO ROJAS A OCHO CUADRAS DE LA IGLESIA MATRIZ,FiscomitionalHighSchool,Costa,Presencial,Matutina,20,9,29,0,213
Loja_Province,LOJA,ELSAGRARIO,-3,995806560150,UNIDAD EDUCATIVA LA PORCIUNCULA,CALLE BOLIVAR 0639 COLON Y JOSE ANTONIO EGUIGUREN ,ReligiousHighSchool,Sierra,Presencial,Matutina,42,5,47,12,829
Loja_Province,LOJA,SUCRE,-3,999082173290,UNIDAD EDUCATIVA MANUEL IGNACIO MONTERO VALDIVIESO,   AVENIDA  VILLONACO OBRA PIA,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,Nocturno,18,8,26
Loja_Province,SARAGURO,SARAGURO,-3,614134919060,UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE DE CALASANZ,   BARRIO APUGUIN,FiscomitionalHighSchool,Sierra,Presencial,Matutina,33,39,72,13,585
Loja_Province,ESPINDOLA,AMALUZA,-4,581693117110,UNIDAD EDUCATIVA MONS LUIS ALFONSO CRESPO,AVENIDA ZUMBA SN VIA  A CONSAPAMBA ,FiscomitionalHighSchool,Costa,Presencial,Matutina,25,23,48,4,331
Loja_Province,CALVAS,COLAISACA,-4,264975398390,UNIDAD EDUCATIVA MONSE�OR SANTIAGO FERNANDEZ GARC�A,   BARRIO CENTRAL VELAZCO IBARRA Y 18 DE NOVIEMBRE,FiscomitionalHighSchool,Costa,Presencial,Matutina,Nocturno,68,55,123,15
Loja_Province,LOJA,SANLUCAS,-3,738634821110,UNIDAD EDUCATIVA MUSHUK RIMAK,   CABECERA PARROQUIAL,FiscalHighSchool,Sierra,Presencial,Matutina,11,14,25,2,209
Loja_Province,SARAGURO,SARAGURO,-3,626087506970,UNIDAD EDUCATIVA FISCOMISIONAL FRAY CRIST�BAL ZAMBRANO,LOJA  CRISTOBAL ZAMBRANO ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,13,10,23,1,171
Loja_Province,SARAGURO,SELVAALEGRE,-3,555560042600,COLEGIO DE BACHILLERATO VICENTE BASTIDAS REINOSO,   BARRIO VALLE HERMOSO,FiscalHighSchool,Costa,Presencial,Matutina,5,7,12,3,96
Loja_Province,SARAGURO,SUMAYPAMBA,-3,357721821420,ESCUELA DE EDUCACI�N B�SICA ORILLAS DEL JUBONES,   BARRIO SUMAYPAMBA,FiscalHighSchool,Costa,Presencial,Matutina,Vespertina,9,4,13,0
Loja_Province,SARAGURO,URDANETA(PAQUISHAPA),-3,606226242500,COLEGIO PROFESOR VIRGILIO ABARCA MONTESINOS,   PARROQUIA URDANETA,FiscalHighSchool,Sierra,Presencial,Matutina,9,13,22,3,167
Loja_Province,LOJA,VALLE,-3,944304254910,ESCUELA DE EDUCACION BASICA MARIETA DE VEINTIMILLA,AV  CHUQUIRIBAMBA 00 AV  INTEGRACION BARRIAL Y  LAGUNA DE YAMBO ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,33,19,52,4
Loja_Province,LOJA,VALLE,-3,971886224190,I.E. ESPECIAL DE LOJA NO. 2,AGUSTIN PALACIOS 1 TRAS DEL ASILO DE ANCIANO DANIEL ALVAREZ SANCHEZ ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,11,3,14,1,17
Loja_Province,LOJA,VALLE,-3,995405,SERVICIO ECUATORIANO DE CAPACITACI�N PROFESIONAL SECAP,GRANADA LOJA AV ISIDRO AYORA ,FiscalHighSchool,Sierra,Presencial,Matutina,1,1,2,16,
Loja_Province,LOJA,VALLE,-3,981941278420,UNIDAD EDUC FISCOMISIONAL PARA PCEI JOSE MARIA VELAZ EXT 1 LOJA,ESMERALDAS  GUAYAQUIL Y MANTA ,FiscomitionalHighSchool,Sierra,Semipresencial,Vespertina,6,3,9,2,92
Loja_Province,LOJA,VALLE,-3,948808534320,UNIDAD EDUCATIVA COMIL N 5 LAURO GUERRERO,SALVADOR BUSTAMANTE CELI  ninguna ,FiscalHighSchool,Sierra,Presencial,Matutina,43,19,62,20,473
Loja_Province,LOJA,VALLE,-3,951781032850,UNIDAD EDUCATIVA FERNANDO SUAREZ PALACIO,AVENIDA PABLO PALACIO 1 SIN NOMBRE ,FiscalHighSchool,Sierra,Presencial,Matutina,16,5,21,2,185
